FILIAL;DATA_VENDA;PRODUTO;DESC_PRODUTO;GRUPO_PRODUTO;SUBGRUPO_PRODUTO;QTDE_LIQUIDA;
HAVAIANAS MINAS SHOPP    ;03/07/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;05/07/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;06/07/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;14/07/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;17/07/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;19/07/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;10/08/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;17/08/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;20/08/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;02/09/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;03/09/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;11/09/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;15/09/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;05/10/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;08/10/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;23/10/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;24/10/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS SAVASSI BH     ;29/10/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS SAVASSI BH     ;10/11/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS SAVASSI BH     ;19/11/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;2;
HAVAIANAS SAVASSI BH     ;25/11/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
